Sample ID	Temp	Date	Absorbance	Unnamed: 4	Unnamed: 5
ID 4lgzcr5e	21.41778859	1/27/2023	0.15		
ID 0ybtzmnd	23.49604452	1/24/2023	0.533183003		
ID a3q7b5kk	22.03155801	1/14/2023	0.704917547		
ID kj77lo9j	23.77225059	1/17/2023	-0.07557658651558607		
ID ojzcrq7c	23.47617802	1/7/2023	0.532970886		
ID mmbmwyxu	21.49335363	1/7/2023	0.161723431		
ID vmoid1xd	21.05104437	1/13/2023	0.15		
ID t91cdwvx	22.54161957	1/30/2023	0.15		
ID hcf8o2qu	23.88605789	1/11/2023	0.15		
ID upbs49yw	22.40385846	1/17/2023	-0.04647373387412512		
ID pm6snrkx	21.56416749	1/26/2023	0.652835083		
ID g818sqro	23.98480133	1/13/2023	0.15		
ID lbgz153e	23.3079184	1/30/2023	0.176741605		
ID 5ll1dvys	22.00137096	1/22/2023	0.15		
ID yosc4xaj	21.63907951	1/12/2023	0.15		
ID nf62bpfj	23.31127073	1/23/2023	0.15		
ID serprmnd	23.79452627	1/8/2023	0.221480723		
ID nzggs59g	23.98692862	1/15/2023	0.15		
ID lw2ax0mk	22.95775275	1/25/2023	0.610934158		
ID paw2q2e2	22.65085828	1/21/2023	0.15		
ID 8bn91154	23.49591287	1/30/2023	0.15		
ID iduglru4	21.2222938	1/24/2023	0.15		
ID 2lb08yql	21.41803573	1/30/2023	0.397356409		
ID o14ipmon	23.44883327	1/15/2023	0.15		
ID cevbjzvw	21.32383259	1/9/2023	0.15		
ID li3fex6q	21.27805413	1/18/2023	0.15		
ID v2pyrazx	23.68182242	1/26/2023	0.15		
ID 1gflmpqp	23.61858728	1/11/2023	0.15		
ID ft07j482	21.83404657	1/17/2023	0.637543621		
ID shvox1ed	21.79135625	1/19/2023	0.454214571		
ID mjplz50h	21.13655478	1/24/2023	0.15		
ID k5i5tlc6	21.16238232	1/16/2023	0.15		
ID ykuqbj9d	23.90849341	1/10/2023			
ID fqnvoznx	21.56789708	1/26/2023	0.92		
ID vk5dhvsc	23.6714296	1/6/2023	0.15		
ID 915yrz5e	22.48320476	1/24/2023	0.15		
ID ajz2kwja	21.84353812	1/6/2023	0.15		
ID vfzxlnjy	21.05549022	1/21/2023	0.216244268		
ID 5y3ttxer	22.13672246	1/6/2023	0.15		
ID sna1qchm	22.32250218	1/27/2023	0.820792075		
ID bfu7w4bb	22.99954415	1/14/2023	0.791347913		
ID hprf2buh	21.95689995	1/19/2023	0.15		
ID 0envk8kn	22.76318431	1/29/2023			
ID tqfiupcq	23.64495761	1/16/2023	0.92		
ID ds4t44ja	22.32318742	1/23/2023	0.92		
ID yxmp0073	22.57687805	1/18/2023	0.15		
ID e0sko0cy	22.95416838	1/27/2023	0.497647663		
ID 6d9k8jb9	22.13126833	1/20/2023	0.92		
ID 9rut7yxw	21.47822666	1/7/2023	0.15		
ID 93fms0hq	21.16585191	1/4/2023	0.15		
ID ey2gr0zg	22.05465447	1/16/2023	0.15		
ID ol134awn	21.4075842	1/19/2023	0.92		
ID sk11xdwi	21.27095949	1/28/2023	0.92		
ID uvonzpb3	21.20165715	1/6/2023	0.15		
ID g5rq91mh	23.5916324	1/29/2023	0.15		
ID idruf5w8	21.39107497	1/20/2023	0.15		
ID uomcqp0l	21.79712322	1/24/2023	0.15		
ID fqycz5vd	22.5194633	1/6/2023	0.574338441		
ID bivsnsyc	21.65420457	1/22/2023	-0.5372107892468205		
ID 9u55mz4o	23.18510008	1/17/2023	0.92		
ID kt2hgx9j	22.63115214	1/21/2023	0.881701827		
ID gi65hl2k	21.19603751	1/14/2023	0.15		
ID zd5z901u	21.39919829	1/16/2023	0.15		
ID 1eliyn1f	21.69372982	1/10/2023	0.15		
ID 3spndx99	22.44062042	1/3/2023	0.15		
ID hr1wtooc	21.15108306	1/16/2023	0.15		
ID l3sjkoi9	23.80041025	1/10/2023	0.92		
ID e92apl79	23.59767966	1/8/2023	0.92		
ID zij4pydh	22.67171178	1/17/2023	0.92		
ID 4ujwkw2x	22.80914646	1/9/2023	0.15		
ID hwhqcies	23.38825835	1/25/2023	0.15		
ID vz4jg3aa	22.48936055	1/9/2023	0.15		
ID bwarsy0c	22.98253517	1/18/2023	0.15		
ID t1xdzsgf	23.61995992	1/22/2023	0.15		
ID 02zow95n	21.59960701	1/23/2023	0.15		
ID ad5ubv8g	21.29287909	1/9/2023	0.92		
ID soyi7i8m	21.32633332	1/24/2023	0.494802873		
ID nnply67j	22.69852235	1/24/2023	0.486415315		
ID 758ug24h	23.12494133	1/3/2023			
ID 85cowx11	21.23015	1/14/2023			
ID 34wesvsx	21.34223291	1/25/2023	0.309606531		
ID oh2mtn65	23.8615225	1/29/2023	0.92		
ID kopcmeax	23.02220577	1/30/2023	0.15		
ID i6um6kjt	23.24025526	1/3/2023	0.92		
ID 4wo5at13	22.08616435	1/18/2023	0.15		
ID xwfsvnxh	22.83913915	1/20/2023	0.92		
ID 8ocwo9xg	23.26854068	1/20/2023	0.92		
ID rzyd88sl	21.95172155	1/18/2023	0.15		
ID arfb7ov2	21.18667598	1/7/2023	0.92		
ID j2pa75qp	23.61917926	1/31/2023			
ID 7jlb0qhf	22.88171906	1/19/2023	0.92		
ID y2pox0lr	21.79218523	1/25/2023	0.15		
ID opuvr6yp	22.97789546	1/19/2023	0.15		
ID 0lgseg0e	22.53866279	1/13/2023	0.265678893		
ID czwjgf36	21.85041581	1/23/2023	0.15		
ID 6k51tk2o	23.85468642	1/22/2023	0.15		
ID 0didcfmb	22.30384271	1/3/2023	0.15		
ID pl9eb068	21.63044479	1/27/2023	0.15		
ID jawoai8j	21.67809369	1/11/2023	0.662573524		
ID xe0yel7w	23.60879763	1/4/2023	0.15		
ID zqarlbjb	23.96980852	1/20/2023	0.421902204		
ID u2kenyzd	23.26833462	1/13/2023	0.246882872		
ID 6ngb4o7x	23.32278035	1/21/2023	0.92		
ID l4whvbhr	22.99939288	1/20/2023	0.65112302		
ID 4096q9qh	22.0612306	1/3/2023	0.92		
ID fbk6nn9n	21.47875786	1/14/2023	0.15		
ID zi4h5eze	22.092289	1/17/2023	0.15		
ID h0wndgcf	23.19047153	1/31/2023	0.35676498		
ID 7zxn8la7	23.29330818	1/24/2023	0.838647609		
ID x9xtot17	21.98149626	1/29/2023	0.711315935		
ID cod9gdar	23.00449247	1/19/2023	0.332546373		
ID 00z4spyf	23.17491296	1/12/2023	0.749805259		
ID jf7tqztt	23.25992	1/11/2023	0.15		
ID syarxojl	23.94187698	1/4/2023	0.15		
ID ppzhmjqp	23.43602777	1/12/2023	0.15		
ID fzbn3o4e	22.43148174	1/22/2023	0.15		
ID e3p5xg8f	21.43273172	1/27/2023	0.15		
ID 22may2gy	21.96404319	1/4/2023	0.220432788		
ID 0et9pjwr	23.84495021	1/16/2023	0.719077804		
ID aquh1hz0	23.55293845	1/30/2023	0.379758269		
ID sz868lpx	22.09735671	1/4/2023	0.15		
ID 429vp2i9	23.63233988	1/28/2023	0.656163822		
ID a48yq4si	21.90422531	1/14/2023	0.15		
ID 55tmm13g	23.52189149	1/23/2023	0.879917205		
ID i1sw26a7	23.78853913	1/7/2023	0.92		
ID ualwqfnx	21.93328579	1/19/2023	0.319124985		
ID gst0dtjh	22.83737298	1/9/2023	0.15		
ID 63i5pjpn	22.82999938	1/31/2023	0.214374769		
ID rc64p5wj	23.92442429	1/27/2023	0.15		
ID hrgu17l3	23.03701217	1/16/2023	0.15		
ID 7xlz489r	22.62237636	1/8/2023	0.301937103		
ID tp4xsxje	21.33551298	1/8/2023	0.15		
ID o05krjp5	23.92628765	1/11/2023	0.15		
ID rysnzf1g	22.25945023	1/31/2023	0.813122599		
ID uthuokgo	21.1875028	1/15/2023	0.38432378		
ID bq3bd4bo	22.56454951	1/11/2023	0.92		
ID fdv65z4f	23.61471026	1/31/2023	0.15		
ID 6cde2mhh	21.83226723	1/7/2023	0.397326546		
ID mozjputr	23.35691581	1/17/2023	0.590834035		
ID frtvidio	21.53823105	1/8/2023	0.15		
ID ip2lnu6v	22.25249021	1/25/2023	0.735799995		
ID qnqzo156	23.51262832	1/11/2023	0.15		
ID kiiplyw9	22.83728843	1/31/2023	0.15		
ID rq8ga7p1	22.4438399	1/19/2023	0.92		
ID cojc8r7x	21.98681305	1/22/2023	0.461618789		
ID 4m77u7mm	22.52586682	1/18/2023	0.15		
ID r5d0s8dn	21.74617774	1/6/2023	0.92		
ID vn9l0fjf	22.1206932	1/23/2023	0.92		
ID q7shc3pp	21.02881452	1/7/2023	0.15		
ID 8t7mjr76	21.45577482	1/28/2023	0.92		
ID m4cl1hso	22.99288102	1/18/2023	0.15		
ID 9ca6k01k	23.77021139	1/3/2023	0.15		
ID ibafxnls	22.51505236	1/31/2023	0.574679276		
ID t1crijia	22.68998561	1/23/2023	0.15		
ID 8rjxeiip	23.9144814	1/20/2023	0.472177827		
ID w8n1dgfz	23.63975283	1/4/2023	0.92		
ID f2fkhu3n	22.84602508	1/11/2023	0.484261471		
ID xlvca84w	21.38401289	1/8/2023	0.92		
ID 53j8y891	21.91307475	1/15/2023	0.15		
ID vago7k5t	21.49921302	1/5/2023	0.706012737		
ID ywt588cv	23.18614255	1/19/2023	0.15		
ID atwwp27c	21.58485618	1/31/2023	0.339392535		
ID sfnj6xx1	22.54162614	1/22/2023	0.897303024		
ID 14eo3mmf	22.94685096	1/17/2023	0.92		
ID f6dwgcil	22.85334576	1/22/2023	0.602720958		
ID fyq63514	23.27120372	1/12/2023	0.92		
ID 4wttk3k7	21.92863285	1/18/2023	0.655705486		
ID m47qn9fh	22.07558969	1/13/2023	0.92		
ID 5drv41bj	21.01200068	1/16/2023	0.92		
ID z9g55i6q	23.07921473	1/18/2023	0.15		
ID sow0lxcb	23.17199261	1/8/2023	0.15		
ID 9m56dcpf	22.28794604	1/5/2023	0.92		
ID 86alo177	21.56813878	1/28/2023	0.15		
ID b6hd3yqc	22.23198085	1/6/2023	0.452035021		
ID 3o3642sq	21.395902	1/31/2023	0.92		
ID aw5zpq4x	23.01375939	1/22/2023	0.92		
ID inhn3pto	23.96429948	1/6/2023	0.15		
ID mntq2aa0	22.42767229	1/15/2023	0.15		
ID 3ur7bp70	23.43775711	1/29/2023	0.316173725		
ID 1terzaz7	22.41470978	1/29/2023	0.92		
ID r1i4c4y0	23.58723121	1/20/2023	-0.8904587979318865		
ID 1el3spm2	21.25160425	1/23/2023	0.92		
ID f8men7vj	23.17240117	1/5/2023	0.79812345		
ID 2i1o61p7	23.4731607	1/31/2023	0.92		
ID lruynkqy	22.81031419	1/25/2023	0.15		
ID z8s6s5g4	22.53891635	1/29/2023	0.860004125		
ID olxcgmbj	23.84076998	1/26/2023	0.15		
ID f6g1mwq5	21.56204394	1/6/2023	0.15		
ID vf40sl37	22.53487445	1/4/2023	0.629710658		
ID 23mkxyvd	21.06949977	1/7/2023	0.15		
ID wo0tzqd0	23.20930747	1/4/2023	0.92		
ID o8wxcc3o	22.1768858	1/7/2023	0.380048753		
ID cef8nuha	22.75460237	1/15/2023	0.15		
ID wo0uus8x	21.00141601	1/12/2023	0.485233488		
ID ab3qxj9l	22.351703	1/26/2023	0.637159915		
ID 7kez5x98	23.80138211	1/9/2023	0.314003325		
ID s8xd20n6	22.68121389	1/27/2023	0.15		
ID qvki7eis	23.17471404	1/14/2023	0.15		
ID xnuoiup4	23.00335959	1/16/2023	0.15		
ID d77scnuk	23.84276179	1/18/2023	0.15		
ID erdl22p4	21.65518883	1/21/2023	0.15		
ID qjw8602k	21.56128693	1/20/2023	0.15		
ID fqkr7r5x	21.02278533	1/25/2023	0.15		
ID flwu22ia	22.8188051	1/6/2023	0.92		
ID et2lzzx4	21.33959863	1/27/2023	0.22337		
ID l1icy4s0	22.62829438	1/23/2023	0.429735896		
ID dcor7xir	22.67126268	1/28/2023	-0.1851278922635028		
ID jcg6joy7	22.43276564	1/14/2023	0.15		
ID 346zykmz	23.44638024	1/22/2023	0.15		
ID nxkuhgkz	21.66807697	1/12/2023	0.151649043		
ID du6l8bmw	22.10152584	1/6/2023	0.92		
ID 98zaivi9	23.25275806	1/30/2023	0.92		
ID vtksaiz2	22.96159962	1/17/2023	0.15		
ID 4m1zxcf0	22.19053196	1/3/2023	0.15		
ID xr95kpj7	23.26625708	1/9/2023	0.15		
ID tgto1eee	23.73256641	1/7/2023	0.15		
ID u85qfr7s	22.1283079	1/8/2023	0.21151364		
ID 4o8cvey4	23.54440708	1/26/2023	0.92		
ID x3nef6z8	21.13636592	1/22/2023	0.733605368		
ID bosc0gjh	21.18618914	1/25/2023	0.15		
ID n7h5tyg8	21.62249031	1/7/2023	0.15		
ID 3to4a08s	22.58651255	1/19/2023	0.92		
ID ca4nprun	23.33060736	1/11/2023	0.272308161		
ID rayd7lrw	23.06304478	1/29/2023	0.901472338		
ID dlt9xzpp	23.33506903	1/19/2023	0.15		
ID nzblf0m6	22.07132286	1/8/2023	0.199900539		
ID gvm8tag2	21.4333471	1/25/2023	0.812886466		
ID 0chcm5e2	23.32221441	1/22/2023	0.220432788		
ID 6qfiv610	22.51250954	1/13/2023	0.15		
ID 1nr17nsd	21.8957138	1/14/2023	0.596783178		
ID wh4g4gfu	22.70255355	1/29/2023	0.421415597		
ID d1lbc9ho	21.50751762	1/15/2023	0.15		
ID sl0p1y7x	21.81738566	1/19/2023	0.15		
ID e8nts3v5	22.95637911	1/26/2023	0.15		
ID mk3dan2c	23.62039568	1/12/2023	0.15		
ID 1wb6hg1d	23.9510354	1/17/2023	0.15		
ID 2tr4d6ga	21.80064673	1/14/2023	0.477423806		
ID 9cfo4l3x	23.29843836	1/6/2023	0.92		
ID 8uml7p29	23.54214816	1/14/2023	-0.2505543507318777		
ID 6o5mb09k	21.39338822	1/14/2023	0.15		
ID x8liotr5	23.03240417	1/6/2023			
ID whjrt6d9	23.54948791	1/5/2023	0.544167887		
ID xeinnvzt	22.17393865	1/24/2023	-0.34986808517306867		
ID wrmzse6x	21.44703404	1/31/2023	0.361900412		
ID 95dhuu65	23.93194373	1/26/2023	0.511702335		
ID 65bcucht	21.14548431	1/15/2023	0.15		
ID zfduslvd	22.08450506	1/6/2023	0.15		
ID ph8nrnoy	22.18938609	1/4/2023	0.15		
ID te3xeblg	22.68072402	1/7/2023	0.313363245		
ID f3h6hwj0	22.02641118	1/23/2023	0.764872356		
ID zaa3q2xm	21.41614244	1/3/2023	0.92		
ID mkjrw7o2	22.76840864	1/30/2023	0.92		
ID artxydh0	22.88855149	1/8/2023	0.485223011		
ID ci94ipp5	22.63988125	1/14/2023	0.15		
ID ft7ikukc	22.5913649	1/12/2023	0.550182249		
ID q0oe8omr	22.03550798	1/24/2023			
ID uofvc8n9	21.49198346	1/17/2023	0.215545449		
ID 7ha6z3y2	21.178263	1/10/2023	0.15		
ID tpm220af	22.13944048	1/4/2023	0.338737387		
ID 0bmpj3hi	21.7834183	1/19/2023	0.92		
ID 1yr6xmgz	22.28510058	1/17/2023	0.440622797		
ID bfo0f7im	21.57522889	1/21/2023	0.92		
ID 8wpna0m7	21.29663494	1/11/2023	0.92		
ID vmxmslnc	22.73385173	1/26/2023	0.92		
ID d39ptoqn	22.75932988	1/28/2023	0.572317207		
ID p06zdf4t	22.62848425	1/3/2023	0.15		
ID ggbc6620	22.73118352	1/16/2023	0.15		
ID ug82qgbw	23.38819863	1/7/2023	0.15		
ID 24ws3jmm	21.2756568	1/23/2023	0.784427535		
ID ns5dy7mo	21.72526627	1/27/2023	0.251647516		
ID rw20jqwi	23.36106589	1/12/2023	0.92		
ID 4yddf70l	22.93060411	1/30/2023	0.15		
ID ut80c1o3	22.39604981	1/30/2023	0.15		
ID x5u874ha	23.43076006	1/16/2023	0.331052395		
ID r1rmrqbs	23.38348098	1/10/2023	-0.7111734194302126		
ID fzx3gnyv	23.49877475	1/12/2023	0.15		
ID scjrqdto	22.43159358	1/26/2023	0.15		
ID rv99ftrk	23.21572121	1/19/2023			
ID inkgvxtw	22.5206434	1/4/2023	0.15		
ID a9jnvfcp	22.53997523	1/12/2023	0.15		
ID t1xl8xsm	22.73017878	1/31/2023	0.745468567		
ID p89vq6qt	21.14048472	1/8/2023	0.92		
ID vobvbcn9	23.78145517	1/30/2023	0.590316196		
ID dh9w9v19	23.95709678	1/30/2023	0.92		
ID ft2uqfm5	22.30099205	1/21/2023	0.15		
ID gz8ihduc	22.4527369	1/16/2023	0.92		
ID 8pqg4tu8	23.0032928	1/21/2023	0.15		
ID 2wz3h60s	23.06713193	1/24/2023	0.15		
ID 5ga5ymbe	23.30536634	1/24/2023	0.15		
ID mmor0xrs	21.53211998	1/12/2023	0.92		
ID 7zzvuhe0	23.61243155	1/27/2023	0.524220359		
ID 92cuxh2m	23.75418205	1/27/2023	0.92		
ID swuvunzg	23.52068467	1/12/2023			
ID ah37h85k	23.90825558	1/19/2023	0.15		
ID q76sep9n	22.68971198	1/30/2023	0.92		
ID rigu2tl4	22.37644164	1/22/2023	0.15		
ID 8ebmlkfo	23.55965765	1/27/2023	0.15		
ID 12c47946	23.41075426	1/31/2023	0.661216468		
ID 07ha1j3w	23.03107157	1/22/2023	0.15		
ID hcdoqr8n	21.64400832	1/7/2023	0.15		
ID jw3f7i7e	21.42510006	1/21/2023	0.92		
ID f74jplw8	23.78303772	1/20/2023	0.15		
ID jsuyhfwd	23.30797589	1/22/2023	0.233399916		
ID kalbjgsj	23.56944093	1/8/2023	0.15		
ID 82ve4w5y	23.82641977	1/8/2023	0.15		
ID lqab4vhb	21.53926353	1/29/2023	0.92		
ID zrj143e7	23.04577589	1/12/2023	0.80115812		
ID f70fgidc	22.32150891	1/13/2023	0.92		
ID azo6df4r	21.55408256	1/20/2023	-0.1593855167116408		
ID zv1h4u2a	22.3486676	1/25/2023	0.15		
ID 70aay4lc	23.39652197	1/31/2023	0.15		
ID cd35sfu6	22.09382276	1/30/2023	0.15		
ID qxmui36y	21.71397884	1/31/2023	0.15		
ID xxridqwl	23.27378472	1/10/2023	0.568388482		
ID 64skm63b	23.48377793	1/27/2023	0.15		
ID se2yjaj7	21.59044881	1/28/2023	0.15		
ID z5i5pezl	22.15506827	1/30/2023	0.15		
ID 0u5vp7wx	21.04866122	1/16/2023	0.15		
ID d3sdtlpm	22.04827266	1/17/2023	0.162981933		
ID p7fvwyup	22.20413411	1/19/2023	-0.3964204947051273		
ID h1wzs37x	21.33456667	1/30/2023	0.15		
ID 7hvct7kg	23.47279705	1/25/2023	0.15		
ID kf65n0yl	22.66301196	1/22/2023	0.583530961		
ID sbkhgb61	21.10758086	1/17/2023	0.15		
ID gtr8ofgp	22.61793678	1/7/2023	0.15		
ID 9exne801	21.68065845	1/12/2023	0.163122529		
ID 1a2tbodf	23.14687178	1/6/2023	0.15		
ID tq946r9n	21.24388498	1/25/2023	0.849684177		
ID w0zcovsy	21.06427458	1/31/2023	0.15		
ID gdqmrq9g	22.82933302	1/27/2023	0.421333287		
ID evtfk3uk	21.44064007	1/4/2023	0.911467056		
ID gr63i7lc	22.2315989	1/27/2023	0.92		
ID 25tj58bh	23.98599673	1/23/2023	0.92		
ID owf2vc0u	23.38413623	1/13/2023	0.15		
ID yt7zz59r	21.92953211	1/10/2023	0.92		
ID 2rnv8nj3	23.57168227	1/20/2023	0.15		
ID e9mchd19	22.51150132	1/19/2023	0.424737816		
ID x5ap9bao	21.05150111	1/13/2023	0.15		
ID arf6qnre	23.17167129	1/28/2023	0.559603416		
ID n8gqayq9	21.16314076	1/28/2023	0.15		
ID 49r1rrji	21.77334235	1/17/2023	0.15		
ID vypeeun0	23.08996581	1/22/2023	0.82494731		
ID s0z9clsn	23.61888595	1/23/2023	0.15		
ID o5t7i7av	22.97583181	1/20/2023	0.15		
ID yri3l3v9	22.85619323	1/16/2023	0.15		
ID ro5pff22	21.76912987	1/13/2023	0.15		
ID 9v7yr0gz	23.77526046	1/13/2023	0.15		
ID v7hrlnne	22.25358524	1/10/2023	0.92		
ID tay6g46p	21.62692264	1/20/2023	0.92		
ID ywfl6txx	21.07338464	1/19/2023	0.461618789		
ID povbflmm	22.7820468	1/25/2023	0.282317163		
ID oh4ofkvy	21.6615457	1/8/2023	0.92		
ID 120gyt32	21.24898429	1/8/2023	0.92		
ID lt0lvv3k	23.2176079	1/12/2023	0.696456328		
ID 0tmanb5b	23.70475363	1/23/2023	0.514536855		
ID wddo2um9	23.47840834	1/20/2023	0.92		
ID 65ajg1rx	21.75834595	1/30/2023	0.418996832		
ID jsbcigcy	21.35497486	1/28/2023	0.15		
ID dpo8elly	23.68361759	1/24/2023	0.15		
ID jd0v95nx	23.3212842	1/11/2023	0.92		
ID 6h8loiw5	22.33072896	1/28/2023	0.15		
ID zwts5fny	21.69181516	1/4/2023	0.262154959		
ID yf1gteib	22.92401008	1/26/2023	0.15		
ID ykf8w0de	23.00712499	1/28/2023	0.15		
ID y0suu5lg	22.20136038	1/7/2023	0.15		
ID 5jibjzq5	21.24479877	1/26/2023	0.302163029		
ID p96i859o	21.33970383	1/7/2023	-0.7502020948652726		
ID isju2f9f	22.65359741	1/21/2023	0.15		
ID nw8uub0k	21.2496203	1/29/2023	0.15		
ID 7p2mtdpy	22.42840208	1/23/2023	0.15		
ID 6tzc7ws9	23.52855236	1/9/2023	0.15		
ID 548e66uw	22.38675075	1/23/2023	0.259081146		
ID mgr8jaju	22.88859062	1/17/2023	0.92		
ID bf4dv62f	23.93225694	1/25/2023	0.92		
ID kst4psyl	22.2168866	1/9/2023	0.15		
ID 9tc40x2f	22.53720055	1/26/2023	0.15		
ID d31fdxbe	22.31586683	1/22/2023	0.15		
ID e03fun83	23.12322736	1/4/2023	0.92		
ID l4449ef7	21.54231987	1/20/2023	0.15		
ID 3d7dhyab	21.89140038	1/18/2023	0.92		
ID 20ttbrhi	23.46042768	1/27/2023	0.15		
ID u5gb5tgu	23.82999871	1/16/2023	0.15		
ID eji3ih2k	23.9826889	1/24/2023	0.15		
ID zzy41w4k	23.82999567	1/26/2023	0.405481155		
ID 18o9n1f3	21.12360308	1/11/2023	0.15		
ID 4g0pziso	22.82153099	1/27/2023	0.748475751		
ID omy12g5r	21.90593535	1/9/2023	0.15		
ID hczziq8r	23.50790451	1/19/2023	0.265226592		
ID 1pcy954c	23.78152042	1/31/2023	0.47694751		
ID bbhe73i2	22.58364317	1/19/2023	0.15		
ID gqyf4q11	23.50171831	1/6/2023	0.341253346		
ID vkznafnj	22.77307107	1/29/2023	0.560424794		
ID l89yzej2	23.78252276	1/27/2023	0.15		
ID zar4zs3b	23.19315499	1/9/2023	0.15		
ID khx2ixnj	21.93865717	1/14/2023	0.15		
ID zbcwlse3	23.85570022	1/5/2023	0.869978984		
ID mxo61vr5	22.60196829	1/13/2023	0.15		
ID je6cw3k1	21.44038212	1/23/2023	0.818171003		
ID 21v818pm	23.09844305	1/25/2023	0.15		
ID o0bfw20a	21.66615973	1/9/2023	0.722270882		
ID bhs8xa9i	22.23363187	1/28/2023	0.15		
ID ysslurlv	23.34189079	1/28/2023	0.92		
ID byl4p352	21.56506894	1/22/2023	0.15		
ID 72p0nuan	23.26159858	1/29/2023	0.322283238		
ID ljge4ani	22.09335222	1/11/2023	0.15		
ID dmegjbv6	22.57086365	1/17/2023	0.15		
ID qjaf9rpx	21.70257411	1/17/2023	0.74209307		
ID zxtrk8vl	23.38720158	1/23/2023	0.616760487		
ID gzo7u2c3	22.37418655	1/17/2023	0.15		
ID gawnbgt3	21.79242145	1/4/2023	0.215476684		
ID 2uvipywj	21.25422455	1/21/2023	0.61103157		
ID ic2jh5ij	21.38502003	1/12/2023	0.15		
ID 9n7py85o	23.90393658	1/23/2023	0.92		
ID 6z938913	22.92832849	1/11/2023	0.15		
ID r6w9tq94	22.70824667	1/20/2023	0.92		
ID usz7jhwg	21.75795559	1/6/2023	0.15		
ID 1gzp4pto	21.02728898	1/17/2023	0.15		
ID hkxivhfb	22.56023311	1/20/2023	0.15		
ID ikr22628	21.13941323	1/31/2023	0.92		
ID uxuxh58n	22.46050848	1/19/2023	0.15		
ID sx4n6xt6	21.74109503	1/15/2023	0.15		
ID e037l5zz	23.45048399	1/6/2023	0.221480723		
ID vwvreuut	21.31565734	1/9/2023	0.317814846		
ID 4a2vzh5q	23.48029674	1/4/2023	0.15		
ID ggx1me4s	23.01541289	1/27/2023	0.15		
ID 1p8alviw	23.58588393	1/13/2023	0.15		
ID n77lfkpn	23.65042771	1/13/2023	0.15		
ID n4c0n4lw	22.1965141	1/27/2023	0.367313407		
ID ye058u3j	22.45333202	1/27/2023	0.15		
ID 5b4n727s	21.5819538	1/19/2023	0.15		
ID 2ird4fb5	23.40754535	1/17/2023	0.15		
ID dz18dbjp	22.48816385	1/31/2023	0.15		
ID 333qjj2m	23.81299193	1/6/2023	0.15		
ID 06w3vqrw	23.52307333	1/20/2023	0.54947653		
ID vswvt3d6	23.0248503	1/29/2023	0.15		
ID ssa347wa	23.59351873	1/19/2023	0.92		
ID 4kj5i7dd	21.16815429	1/10/2023	0.7685042		
ID ogh9p4qk	23.08481508	1/30/2023	0.92		
ID p8w9ej6v	23.08734205	1/7/2023	0.92		
ID yt47ub0k	23.3112632	1/22/2023	0.15		
ID ulskvrq7	21.09330102	1/23/2023	0.15		
ID 15nv01tj	23.58704435	1/30/2023	0.15		
ID hwh2b1ud	21.76130919	1/4/2023	0.15		
ID sjxzm10b	23.86343213	1/5/2023	0.68756156		
ID nk3liitc	21.07997695	1/24/2023	0.318574842		
ID r5w4ki3f	22.7165629	1/4/2023	0.15		
